Movie ID,Title,Genre,Month,Year,Release Date,Director,Lead Actor/Actress,IMDB Rating,Box Office Revenue (Crores),Production Company,Country
1,Pathaan 2,Action,2,2023,22-02-2023,Sanjay Leela Bhansali,Kartik Aaryan,8.7,213.85,Balaji Motion Pictures,India
2,Raid 2 3,Adventure,9,2024,02-09-2024,Rajkumar Hirani,Kangana Ranaut,7.9,439.23,Red Chillies Entertainment,India
3,Jawaan 5,Thriller,9,2024,15-09-2024,Anurag Kashyap,Alia Bhatt,9.2,330.32,Nadiadwala Grandson,India
4,Animal 1,Comedy,4,2024,28-04-2024,Karan Johar,Salman Khan,5.5,214.82,Nadiadwala Grandson,India
5,Animal 2,Adventure,9,2023,19-09-2023,Rajkumar Hirani,Kriti Sanon,9,334.39,Balaji Motion Pictures,India
6,Gadar 2 1,Romance,10,2023,11-10-2023,Neeraj Pandey,Shah Rukh Khan,7.4,205.83,Viacom18 Studios,India
7,Sooryavanshi 2 4,Action,6,2024,01-06-2024,S. S. Rajamouli,Hrithik Roshan,9.5,334.48,Dharma Productions,India
8,KGF Chapter 3 4,Horror,12,2023,05-12-2023,Neeraj Pandey,Kriti Sanon,8.6,30.69,Excel Entertainment,India
9,Pathaan 4,Romance,1,2024,02-01-2024,Kabir Khan,Vicky Kaushal,9.2,74.24,Yash Raj Films,India
10,Drishyam 3 2,Mystery,12,2024,06-12-2024,Rajkumar Hirani,Kriti Sanon,6.1,410.74,Viacom18 Studios,India
11,Tiger Returns 3,Action,5,2023,21-05-2023,Siddharth Anand,Nawazuddin Siddiqui,7.2,152.58,Yash Raj Films,India
12,Drishyam 3 1,Action,11,2023,20-11-2023,Rajkumar Hirani,Shah Rukh Khan,5.9,122.52,Red Chillies Entertainment,India
13,Yodha 4,Action,9,2024,16-09-2024,Rohit Shetty,Salman Khan,7.6,284.24,Reliance Entertainment,India
14,Singham Again 3,Action,12,2024,24-12-2024,Neeraj Pandey,Salman Khan,5.8,122.3,Excel Entertainment,India
15,Raid 2 4,Drama,1,2024,15-01-2024,S. S. Rajamouli,Deepika Padukone,6.5,465.37,Nadiadwala Grandson,India
16,Shershaah 1,Action,10,2023,20-10-2023,Rohit Shetty,Ranbir Kapoor,9.3,201.81,Fox Star Studios,India
17,Yodha 2,Comedy,10,2023,24-10-2023,Rajkumar Hirani,Akshay Kumar,6.1,413.5,Nadiadwala Grandson,India
18,Yodha 3,Drama,5,2023,27-05-2023,Rajkumar Hirani,Shah Rukh Khan,8.5,258.31,Red Chillies Entertainment,India
19,Pathaan 3,Drama,3,2023,09-03-2023,Neeraj Pandey,Salman Khan,9.4,322.71,Red Chillies Entertainment,India
20,Pathaan 5,Thriller,3,2023,17-03-2023,Siddharth Anand,Alia Bhatt,9.1,251.38,Red Chillies Entertainment,India
21,Rocky Aur Rani 3,Thriller,11,2024,08-11-2024,Siddharth Anand,Ranveer Singh,7.3,467.76,T-Series,India
22,Brahmastra 4,Thriller,11,2024,10-11-2024,Sanjay Leela Bhansali,Ranveer Singh,6.7,32.59,Yash Raj Films,India
23,Singham Again 5,Mystery,7,2023,20-07-2023,Siddharth Anand,Ranbir Kapoor,5.3,438.62,Dharma Productions,India
24,Fighter 3,Thriller,1,2024,31-01-2024,S. S. Rajamouli,Shah Rukh Khan,7.7,186.13,T-Series,India
25,Shershaah 5,Horror,2,2023,25-02-2023,Rajkumar Hirani,Kriti Sanon,8.7,20.6,Fox Star Studios,India
26,Yodha 2,Action,4,2023,15-04-2023,Neeraj Pandey,Aamir Khan,6.1,450.21,Viacom18 Studios,India
27,Singham Again 1,Comedy,2,2024,14-02-2024,Neeraj Pandey,Ranbir Kapoor,6.9,176.05,Balaji Motion Pictures,India
28,Tiger Returns 1,Drama,7,2023,14-07-2023,Karan Johar,Alia Bhatt,7.2,191.73,Red Chillies Entertainment,India
29,Bajrangi Bhaijaan 2 4,Thriller,7,2023,22-07-2023,Karan Johar,Shah Rukh Khan,8.3,383.87,Dharma Productions,India
30,Yodha 2,Romance,10,2024,15-10-2024,Karan Johar,Kangana Ranaut,5.4,409.95,Red Chillies Entertainment,India
31,Fighter 3,Adventure,11,2024,12-11-2024,Anurag Kashyap,Kriti Sanon,7,333.62,Balaji Motion Pictures,India
32,Animal 2,Drama,10,2024,02-10-2024,Sanjay Leela Bhansali,Kartik Aaryan,8.8,404.47,T-Series,India
33,Raid 2 1,Drama,3,2024,17-03-2024,Rohit Shetty,Shah Rukh Khan,9.1,486.72,Excel Entertainment,India
34,Raid 2 4,Adventure,3,2023,21-03-2023,Kabir Khan,Alia Bhatt,5.6,427.35,Balaji Motion Pictures,India
35,Gadar 2 4,Mystery,1,2024,31-01-2024,Siddharth Anand,Salman Khan,6.3,281.14,Balaji Motion Pictures,India
36,Brahmastra 2,Romance,5,2023,10-05-2023,Kabir Khan,Salman Khan,8.2,21.9,T-Series,India
37,Yodha 4,Drama,9,2023,27-09-2023,S. S. Rajamouli,Nawazuddin Siddiqui,7.6,310.39,Fox Star Studios,India
38,Sooryavanshi 2 4,Adventure,4,2023,27-04-2023,Rajkumar Hirani,Kriti Sanon,7.2,55.93,Nadiadwala Grandson,India
39,Drishyam 3 4,Romance,7,2024,12-07-2024,Anurag Kashyap,Hrithik Roshan,9.3,246.47,Reliance Entertainment,India
40,Bajrangi Bhaijaan 2 2,Romance,6,2023,20-06-2023,Zoya Akhtar,Deepika Padukone,8.6,165.78,Dharma Productions,India
41,Tiger Returns 3,Comedy,7,2023,12-07-2023,Neeraj Pandey,Nawazuddin Siddiqui,8.4,195.82,Reliance Entertainment,India
42,Animal 1,Action,11,2024,06-11-2024,Zoya Akhtar,Deepika Padukone,8.8,308.2,Yash Raj Films,India
43,Pathaan 1,Drama,2,2024,23-02-2024,Rohit Shetty,Vicky Kaushal,6.1,181.84,Nadiadwala Grandson,India
44,Jawaan 2,Comedy,5,2023,14-05-2023,Sanjay Leela Bhansali,Nawazuddin Siddiqui,5.3,393.14,Reliance Entertainment,India
45,Raid 2 1,Romance,5,2024,10-05-2024,Siddharth Anand,Kangana Ranaut,5.7,21.89,Nadiadwala Grandson,India
46,Shershaah 3,Romance,9,2023,19-09-2023,Rohit Shetty,Vicky Kaushal,8.9,64.5,T-Series,India
47,Raid 2 4,Mystery,3,2023,24-03-2023,Rohit Shetty,Varun Dhawan,7.1,480.05,Dharma Productions,India
48,Shershaah 5,Mystery,3,2023,14-03-2023,Anurag Kashyap,Ranbir Kapoor,5.8,327.95,Balaji Motion Pictures,India
49,Brahmastra 4,Mystery,5,2024,22-05-2024,Zoya Akhtar,Alia Bhatt,8.3,379.26,Yash Raj Films,India
50,Rocky Aur Rani 2,Action,10,2024,12-10-2024,Karan Johar,Kangana Ranaut,8.4,240.32,Red Chillies Entertainment,India
51,Pushpa 2 3,Mystery,4,2023,27-04-2023,Neeraj Pandey,Kriti Sanon,8.2,214.75,Red Chillies Entertainment,India
52,Gadar 2 5,Romance,3,2023,13-03-2023,Zoya Akhtar,Alia Bhatt,6,376.72,Red Chillies Entertainment,India
53,Animal 2,Drama,8,2024,05-08-2024,Karan Johar,Kangana Ranaut,7.1,170.72,Reliance Entertainment,India
54,Jawaan 3,Horror,1,2024,04-01-2024,Rohit Shetty,Kriti Sanon,9.2,488.96,Dharma Productions,India
55,Drishyam 3 3,Horror,7,2023,21-07-2023,S. S. Rajamouli,Aamir Khan,8.1,85.06,Dharma Productions,India
56,Jawaan 3,Comedy,4,2024,23-04-2024,Sanjay Leela Bhansali,Akshay Kumar,6.2,63.02,Viacom18 Studios,India
57,Rocky Aur Rani 4,Comedy,8,2023,16-08-2023,Rohit Shetty,Kartik Aaryan,9.3,45.73,Fox Star Studios,India
58,Jawaan 4,Comedy,1,2024,07-01-2024,Rohit Shetty,Salman Khan,6.1,251.52,Balaji Motion Pictures,India
59,Bhool Bhulaiyaa 3 4,Thriller,1,2023,02-01-2023,Siddharth Anand,Alia Bhatt,5.9,259.27,Dharma Productions,India
60,Shershaah 1,Adventure,1,2024,29-01-2024,Anurag Kashyap,Shah Rukh Khan,6.9,353.85,Balaji Motion Pictures,India
61,Gadar 2 1,Drama,12,2024,24-12-2024,Kabir Khan,Akshay Kumar,8.8,441.53,Red Chillies Entertainment,India
62,Shershaah 2,Adventure,5,2024,11-05-2024,Karan Johar,Ranbir Kapoor,5.2,21.9,Nadiadwala Grandson,India
63,Raid 2 4,Drama,9,2024,06-09-2024,Rajkumar Hirani,Kangana Ranaut,6.5,293.1,Reliance Entertainment,India
64,Dunki 3,Mystery,6,2023,14-06-2023,Neeraj Pandey,Kangana Ranaut,7.2,173,Viacom18 Studios,India
65,Bajrangi Bhaijaan 2 2,Mystery,2,2024,29-02-2024,Zoya Akhtar,Akshay Kumar,8,191.66,T-Series,India
66,Pathaan 1,Mystery,10,2023,11-10-2023,Neeraj Pandey,Ranveer Singh,7.3,64.69,Red Chillies Entertainment,India
67,Shershaah 1,Action,8,2023,07-08-2023,Anurag Kashyap,Hrithik Roshan,6.9,89.49,Fox Star Studios,India
68,Singham Again 3,Romance,10,2024,11-10-2024,Anurag Kashyap,Deepika Padukone,6.2,303.96,T-Series,India
69,Brahmastra 1,Comedy,9,2023,14-09-2023,S. S. Rajamouli,Alia Bhatt,8.6,433.48,Excel Entertainment,India
70,Pushpa 2 4,Romance,1,2023,02-01-2023,Siddharth Anand,Aamir Khan,9,385.28,Excel Entertainment,India
71,Singham Again 3,Comedy,12,2023,17-12-2023,Karan Johar,Salman Khan,7.1,487.92,Viacom18 Studios,India
72,Tiger Returns 1,Drama,7,2024,23-07-2024,Anurag Kashyap,Kartik Aaryan,5.8,328.53,Balaji Motion Pictures,India
73,Yodha 1,Drama,3,2023,11-03-2023,Rohit Shetty,Kriti Sanon,8.9,413.41,Fox Star Studios,India
74,Drishyam 3 5,Mystery,8,2024,30-08-2024,Anurag Kashyap,Kangana Ranaut,8.4,414.55,Red Chillies Entertainment,India
75,Animal 3,Romance,1,2023,04-01-2023,Rohit Shetty,Alia Bhatt,7.3,388.18,Nadiadwala Grandson,India
76,Bhool Bhulaiyaa 3 1,Horror,10,2023,29-10-2023,Sanjay Leela Bhansali,Kriti Sanon,6.8,372.55,Balaji Motion Pictures,India
77,Jawaan 2,Mystery,10,2024,23-10-2024,Kabir Khan,Shah Rukh Khan,6.9,257.57,Nadiadwala Grandson,India
78,Pathaan 3,Adventure,3,2023,15-03-2023,Siddharth Anand,Shah Rukh Khan,5.5,415.82,T-Series,India
79,Rocky Aur Rani 5,Horror,9,2023,23-09-2023,Sanjay Leela Bhansali,Salman Khan,8.8,205.91,Reliance Entertainment,India
80,Animal 2,Drama,10,2024,07-10-2024,Zoya Akhtar,Kangana Ranaut,9,496.36,Viacom18 Studios,India
81,Shershaah 1,Romance,8,2023,31-08-2023,Zoya Akhtar,Ranveer Singh,9.3,76.64,T-Series,India
82,Sooryavanshi 2 2,Action,8,2024,01-08-2024,S. S. Rajamouli,Deepika Padukone,9,145.08,Nadiadwala Grandson,India
83,Dunki 1,Horror,4,2023,01-04-2023,Rohit Shetty,Akshay Kumar,8.5,491.52,Viacom18 Studios,India
84,Yodha 3,Mystery,2,2023,24-02-2023,Sanjay Leela Bhansali,Varun Dhawan,6.5,81.13,Viacom18 Studios,India
85,Singham Again 3,Romance,11,2023,12-11-2023,Anurag Kashyap,Deepika Padukone,8.1,393.04,Yash Raj Films,India
86,Shershaah 3,Comedy,4,2024,27-04-2024,Kabir Khan,Kartik Aaryan,7.9,171.23,Nadiadwala Grandson,India
87,Drishyam 3 5,Thriller,12,2024,23-12-2024,S. S. Rajamouli,Varun Dhawan,6.4,394.75,Excel Entertainment,India
88,Jawaan 2,Mystery,4,2023,07-04-2023,Neeraj Pandey,Ranveer Singh,5.9,437.77,Reliance Entertainment,India
89,KGF Chapter 3 5,Action,9,2024,13-09-2024,Karan Johar,Akshay Kumar,5,40.87,Fox Star Studios,India
90,Drishyam 3 5,Comedy,1,2023,06-01-2023,Siddharth Anand,Kangana Ranaut,6.2,189.46,Yash Raj Films,India
91,Dunki 3,Thriller,9,2023,22-09-2023,Sanjay Leela Bhansali,Ranveer Singh,5.9,411.32,Red Chillies Entertainment,India
92,Shershaah 2,Horror,10,2023,13-10-2023,Kabir Khan,Kangana Ranaut,5.7,162.74,Balaji Motion Pictures,India
93,Pathaan 3,Action,8,2024,05-08-2024,Karan Johar,Nawazuddin Siddiqui,6.6,476.57,Nadiadwala Grandson,India
94,Pathaan 4,Horror,5,2023,19-05-2023,Rohit Shetty,Kartik Aaryan,7.2,27.4,Balaji Motion Pictures,India
95,Singham Again 3,Drama,4,2024,07-04-2024,Karan Johar,Kartik Aaryan,6.6,133.17,Fox Star Studios,India
96,Fighter 4,Action,1,2024,18-01-2024,Rajkumar Hirani,Kangana Ranaut,8.9,480,Red Chillies Entertainment,India
97,Sooryavanshi 2 3,Adventure,4,2023,29-04-2023,Karan Johar,Akshay Kumar,9.3,389.6,Nadiadwala Grandson,India
98,Bajrangi Bhaijaan 2 2,Romance,9,2023,30-09-2023,Rajkumar Hirani,Nawazuddin Siddiqui,5.4,250.88,Excel Entertainment,India
99,Bhool Bhulaiyaa 3 3,Horror,9,2023,26-09-2023,Anurag Kashyap,Ranveer Singh,6.8,382.21,Reliance Entertainment,India
100,Bajrangi Bhaijaan 2 2,Adventure,12,2024,25-12-2024,Neeraj Pandey,Salman Khan,9.3,232.47,Excel Entertainment,India
101,KGF Chapter 3 5,Drama,10,2024,31-10-2024,Zoya Akhtar,Salman Khan,8.5,174.92,Excel Entertainment,India
102,Dunki 5,Thriller,10,2024,12-10-2024,Siddharth Anand,Ranveer Singh,6.4,426.61,T-Series,India
103,Sooryavanshi 2 3,Thriller,5,2023,07-05-2023,Siddharth Anand,Kartik Aaryan,8.4,75.38,Fox Star Studios,India
104,Raid 2 2,Action,12,2024,30-12-2024,Kabir Khan,Kriti Sanon,5.4,126.45,Dharma Productions,India
105,Sooryavanshi 2 2,Thriller,10,2023,13-10-2023,S. S. Rajamouli,Nawazuddin Siddiqui,8.5,118.05,T-Series,India
106,Rocky Aur Rani 5,Thriller,2,2023,18-02-2023,Rajkumar Hirani,Kriti Sanon,6.8,253.25,Viacom18 Studios,India
107,Brahmastra 1,Adventure,4,2023,21-04-2023,Anurag Kashyap,Kriti Sanon,9.4,54.1,Excel Entertainment,India
108,Animal 2,Horror,10,2023,31-10-2023,S. S. Rajamouli,Ranbir Kapoor,6.3,499.22,Red Chillies Entertainment,India
109,Raid 2 1,Action,12,2023,20-12-2023,Rajkumar Hirani,Aamir Khan,8.7,227.65,Balaji Motion Pictures,India
110,Animal 3,Action,2,2023,26-02-2023,Sanjay Leela Bhansali,Aamir Khan,6.3,340.41,Nadiadwala Grandson,India
111,Sooryavanshi 2 2,Romance,5,2024,29-05-2024,Karan Johar,Kriti Sanon,8.6,374.37,Viacom18 Studios,India
112,Animal 1,Drama,8,2024,09-08-2024,Siddharth Anand,Hrithik Roshan,8.2,396,Balaji Motion Pictures,India
113,Bhool Bhulaiyaa 3 2,Horror,4,2024,12-04-2024,Rohit Shetty,Varun Dhawan,5.4,140.51,Balaji Motion Pictures,India
114,Bajrangi Bhaijaan 2 2,Comedy,4,2024,03-04-2024,Anurag Kashyap,Shah Rukh Khan,6.1,456.86,Excel Entertainment,India
115,Fighter 4,Mystery,3,2024,12-03-2024,Siddharth Anand,Deepika Padukone,7.4,337.33,Balaji Motion Pictures,India
116,KGF Chapter 3 1,Mystery,5,2023,23-05-2023,Sanjay Leela Bhansali,Kartik Aaryan,5.4,319.05,Yash Raj Films,India
117,Rocky Aur Rani 5,Adventure,2,2024,09-02-2024,Neeraj Pandey,Deepika Padukone,6,290.88,Excel Entertainment,India
118,Pushpa 2 1,Drama,4,2023,20-04-2023,Kabir Khan,Deepika Padukone,9.4,321.75,Fox Star Studios,India
119,Pushpa 2 3,Drama,11,2024,24-11-2024,Anurag Kashyap,Akshay Kumar,6.8,63.69,T-Series,India
120,Drishyam 3 3,Action,10,2023,04-10-2023,Siddharth Anand,Vicky Kaushal,6.5,188.93,Red Chillies Entertainment,India
121,Jawaan 5,Horror,9,2023,23-09-2023,Rohit Shetty,Ranveer Singh,7.8,66.49,Dharma Productions,India
122,Dunki 1,Horror,9,2024,23-09-2024,Kabir Khan,Varun Dhawan,5.9,355.58,Balaji Motion Pictures,India
123,Bajrangi Bhaijaan 2 4,Adventure,8,2023,10-08-2023,Karan Johar,Salman Khan,6.9,88.38,Dharma Productions,India
124,Bhool Bhulaiyaa 3 2,Mystery,10,2024,04-10-2024,Karan Johar,Hrithik Roshan,8.7,267.82,Yash Raj Films,India
125,Drishyam 3 1,Horror,5,2024,28-05-2024,Karan Johar,Alia Bhatt,8.5,189.35,T-Series,India
126,Pushpa 2 4,Comedy,7,2023,13-07-2023,Karan Johar,Varun Dhawan,5.9,239.91,Dharma Productions,India
127,Tiger Returns 2,Mystery,5,2023,16-05-2023,Kabir Khan,Kriti Sanon,6,309.28,Fox Star Studios,India
128,Singham Again 1,Adventure,12,2024,05-12-2024,Kabir Khan,Ranveer Singh,5.1,54.13,Dharma Productions,India
129,Sooryavanshi 2 4,Comedy,11,2023,22-11-2023,Karan Johar,Kangana Ranaut,8,74.57,Yash Raj Films,India
130,Shershaah 4,Comedy,1,2024,23-01-2024,Anurag Kashyap,Ranveer Singh,5.8,37.67,T-Series,India
131,Sooryavanshi 2 4,Horror,4,2023,24-04-2023,Karan Johar,Ranbir Kapoor,7.7,397.69,Viacom18 Studios,India
132,Bhool Bhulaiyaa 3 4,Horror,6,2024,09-06-2024,Rohit Shetty,Akshay Kumar,5.8,259.15,Nadiadwala Grandson,India
133,Shershaah 5,Drama,12,2024,23-12-2024,S. S. Rajamouli,Ranveer Singh,6.8,19.12,Balaji Motion Pictures,India
134,Brahmastra 4,Drama,5,2024,13-05-2024,Neeraj Pandey,Akshay Kumar,9.2,423.71,Excel Entertainment,India
135,Shershaah 3,Thriller,6,2024,24-06-2024,Neeraj Pandey,Ranveer Singh,8.4,325.97,Reliance Entertainment,India
136,Fighter 1,Thriller,2,2024,01-02-2024,Karan Johar,Alia Bhatt,5.6,15.27,Excel Entertainment,India
137,Shershaah 2,Adventure,12,2024,11-12-2024,Rajkumar Hirani,Vicky Kaushal,5.4,92.4,Fox Star Studios,India
138,Rocky Aur Rani 3,Drama,7,2024,30-07-2024,S. S. Rajamouli,Ranveer Singh,8.5,160.39,Reliance Entertainment,India
139,Yodha 3,Comedy,10,2023,18-10-2023,Karan Johar,Kartik Aaryan,5.5,306.08,Fox Star Studios,India
140,Tiger Returns 2,Mystery,8,2024,06-08-2024,Sanjay Leela Bhansali,Hrithik Roshan,5.1,330.48,Excel Entertainment,India
141,Brahmastra 5,Action,5,2023,30-05-2023,Zoya Akhtar,Hrithik Roshan,6.2,499.36,T-Series,India
142,Dunki 1,Drama,12,2023,30-12-2023,Zoya Akhtar,Kangana Ranaut,9.5,219.05,Dharma Productions,India
143,Bajrangi Bhaijaan 2 2,Horror,5,2024,15-05-2024,Karan Johar,Aamir Khan,5.8,418.63,Red Chillies Entertainment,India
144,Fighter 3,Thriller,3,2024,27-03-2024,Kabir Khan,Hrithik Roshan,6.4,487.3,Reliance Entertainment,India
145,Pushpa 2 5,Horror,1,2023,31-01-2023,Siddharth Anand,Vicky Kaushal,6.7,269.56,Balaji Motion Pictures,India
146,Rocky Aur Rani 5,Adventure,2,2023,18-02-2023,Kabir Khan,Nawazuddin Siddiqui,8,442.1,Balaji Motion Pictures,India
147,Yodha 4,Horror,5,2024,26-05-2024,Siddharth Anand,Alia Bhatt,5.2,125.9,Red Chillies Entertainment,India
148,Brahmastra 5,Thriller,7,2023,16-07-2023,S. S. Rajamouli,Aamir Khan,5.5,269.42,Fox Star Studios,India
149,Pushpa 2 3,Romance,9,2024,19-09-2024,Sanjay Leela Bhansali,Kartik Aaryan,7.3,128.67,Balaji Motion Pictures,India
150,Pushpa 2 1,Thriller,7,2023,15-07-2023,Siddharth Anand,Shah Rukh Khan,9,34.48,Viacom18 Studios,India
151,KGF Chapter 3 3,Drama,7,2023,08-07-2023,Rajkumar Hirani,Nawazuddin Siddiqui,7.5,426.22,Excel Entertainment,India
152,Brahmastra 5,Comedy,7,2024,29-07-2024,Rajkumar Hirani,Kartik Aaryan,8.2,211.65,Dharma Productions,India
153,Fighter 4,Adventure,10,2024,18-10-2024,Siddharth Anand,Kartik Aaryan,7.9,102.96,T-Series,India
154,Tiger Returns 3,Romance,7,2024,16-07-2024,Siddharth Anand,Vicky Kaushal,8.4,234.85,Fox Star Studios,India
155,Bajrangi Bhaijaan 2 3,Adventure,8,2024,17-08-2024,Siddharth Anand,Aamir Khan,6.5,32.45,Balaji Motion Pictures,India
156,Gadar 2 1,Mystery,8,2023,22-08-2023,Sanjay Leela Bhansali,Deepika Padukone,6.5,59.78,Viacom18 Studios,India
157,Pushpa 2 4,Horror,8,2024,24-08-2024,Karan Johar,Varun Dhawan,7.5,77.36,Balaji Motion Pictures,India
158,Tiger Returns 2,Horror,9,2023,06-09-2023,Zoya Akhtar,Kartik Aaryan,7.7,378.86,Reliance Entertainment,India
159,Sooryavanshi 2 5,Drama,5,2023,20-05-2023,Rohit Shetty,Ranbir Kapoor,8.8,31.15,T-Series,India
160,Animal 2,Comedy,1,2023,10-01-2023,Kabir Khan,Kriti Sanon,6.5,93.96,Dharma Productions,India
161,Pushpa 2 1,Action,6,2024,05-06-2024,Kabir Khan,Hrithik Roshan,8.4,102.69,Balaji Motion Pictures,India
162,Gadar 2 5,Action,7,2023,29-07-2023,Kabir Khan,Kangana Ranaut,8.6,206.57,Fox Star Studios,India
163,Dunki 2,Thriller,8,2024,15-08-2024,Zoya Akhtar,Akshay Kumar,6.4,291.54,Balaji Motion Pictures,India
164,Yodha 4,Drama,12,2023,28-12-2023,Karan Johar,Kartik Aaryan,8.5,127.33,T-Series,India
165,Jawaan 2,Thriller,3,2023,27-03-2023,Rajkumar Hirani,Ranveer Singh,6.2,146.27,Reliance Entertainment,India
166,Tiger Returns 5,Romance,3,2023,07-03-2023,Siddharth Anand,Aamir Khan,6.4,145.9,Dharma Productions,India
167,Drishyam 3 4,Comedy,1,2023,29-01-2023,Karan Johar,Nawazuddin Siddiqui,7.2,402.64,Nadiadwala Grandson,India
168,Singham Again 2,Drama,3,2024,20-03-2024,Karan Johar,Kriti Sanon,8.2,183.02,Excel Entertainment,India
169,Raid 2 3,Romance,6,2024,17-06-2024,S. S. Rajamouli,Vicky Kaushal,7.3,14.34,Fox Star Studios,India
170,Gadar 2 2,Drama,10,2024,28-10-2024,Rajkumar Hirani,Deepika Padukone,8.9,333.69,Nadiadwala Grandson,India
171,Drishyam 3 5,Drama,8,2024,28-08-2024,Karan Johar,Akshay Kumar,8,355.16,T-Series,India
172,Drishyam 3 5,Romance,9,2024,14-09-2024,Zoya Akhtar,Ranveer Singh,7,268.25,Nadiadwala Grandson,India
173,Tiger Returns 1,Horror,8,2023,04-08-2023,Karan Johar,Alia Bhatt,6,47.46,Red Chillies Entertainment,India
174,Pushpa 2 5,Action,1,2023,05-01-2023,Sanjay Leela Bhansali,Nawazuddin Siddiqui,5.2,43.87,Fox Star Studios,India
175,Raid 2 5,Thriller,1,2024,16-01-2024,Zoya Akhtar,Vicky Kaushal,8.7,38.13,Dharma Productions,India
176,Shershaah 5,Horror,7,2023,06-07-2023,Anurag Kashyap,Ranveer Singh,6.3,94.3,Nadiadwala Grandson,India
177,Animal 4,Adventure,7,2024,22-07-2024,Karan Johar,Salman Khan,5.6,131.01,Balaji Motion Pictures,India
178,Bajrangi Bhaijaan 2 4,Horror,11,2023,05-11-2023,Rohit Shetty,Kriti Sanon,8.1,55.54,Dharma Productions,India
179,Pathaan 1,Drama,3,2024,13-03-2024,Sanjay Leela Bhansali,Salman Khan,9,402.38,T-Series,India
180,Pushpa 2 5,Drama,12,2024,04-12-2024,Sanjay Leela Bhansali,Kriti Sanon,5.7,82.65,T-Series,India
181,Brahmastra 3,Comedy,5,2023,17-05-2023,Karan Johar,Nawazuddin Siddiqui,8.6,13.08,Dharma Productions,India
182,Pushpa 2 3,Drama,6,2023,09-06-2023,Rohit Shetty,Kriti Sanon,6.4,499.91,Yash Raj Films,India
183,Drishyam 3 4,Thriller,3,2024,08-03-2024,Rohit Shetty,Ranbir Kapoor,9.4,497.91,Nadiadwala Grandson,India
184,Yodha 2,Mystery,3,2024,11-03-2024,Neeraj Pandey,Aamir Khan,8.1,145.15,Balaji Motion Pictures,India
185,Singham Again 4,Horror,9,2024,01-09-2024,Rajkumar Hirani,Salman Khan,5.4,428.17,Viacom18 Studios,India
186,Animal 2,Adventure,4,2024,03-04-2024,Neeraj Pandey,Alia Bhatt,6,461.8,Yash Raj Films,India
187,Bajrangi Bhaijaan 2 4,Comedy,2,2023,20-02-2023,Rajkumar Hirani,Ranbir Kapoor,5.1,156.39,Reliance Entertainment,India
188,Brahmastra 5,Drama,11,2023,14-11-2023,Anurag Kashyap,Kartik Aaryan,7.8,442.05,T-Series,India
189,Pathaan 2,Mystery,12,2023,18-12-2023,Anurag Kashyap,Akshay Kumar,5.2,150.37,Dharma Productions,India
190,Singham Again 2,Drama,9,2023,16-09-2023,Rohit Shetty,Hrithik Roshan,7.4,411.69,Excel Entertainment,India
191,Brahmastra 2,Mystery,1,2023,27-01-2023,Anurag Kashyap,Varun Dhawan,7.2,447.14,Red Chillies Entertainment,India
192,Fighter 4,Drama,5,2023,16-05-2023,Rajkumar Hirani,Salman Khan,7.1,225.65,Yash Raj Films,India
193,Jawaan 3,Action,1,2023,06-01-2023,S. S. Rajamouli,Kriti Sanon,6.9,213.4,Red Chillies Entertainment,India
194,KGF Chapter 3 1,Action,8,2024,22-08-2024,Sanjay Leela Bhansali,Kriti Sanon,9.1,54.31,Nadiadwala Grandson,India
195,Rocky Aur Rani 3,Thriller,3,2024,09-03-2024,Zoya Akhtar,Ranbir Kapoor,5.5,467.79,Excel Entertainment,India
196,Animal 3,Romance,8,2023,19-08-2023,Siddharth Anand,Akshay Kumar,6.9,130.68,Excel Entertainment,India
197,Raid 2 2,Horror,5,2023,10-05-2023,Rohit Shetty,Salman Khan,9.3,256.73,T-Series,India
198,Singham Again 3,Adventure,3,2024,28-03-2024,Sanjay Leela Bhansali,Alia Bhatt,9.1,179.97,Dharma Productions,India
199,Pushpa 2 4,Adventure,6,2023,06-06-2023,Siddharth Anand,Kartik Aaryan,8.9,45.33,Dharma Productions,India
200,Animal 4,Thriller,10,2023,06-10-2023,Rajkumar Hirani,Nawazuddin Siddiqui,5.2,423.89,Excel Entertainment,India
